OG_ID	NODE_ID	GENE_NUM	GAIN_NUM	BRN_NUM	DUP_NUM	TRN_NUM	LOS_NUM	TRN_DETAIL
OG0000017	insp4	0	0	0	0	0	1	
OG0000017	insp5	1	0	0	0	0	0	
OG0000018	N001	1	1	1	0	0	0	
OG0000018	N002	1	0	0	0	0	0	
OG0000018	outsp1	1	0	0	0	0	0	
OG0000018	outsp2	1	0	0	0	0	0	
OG0000018	N003	1	0	0	0	0	0	
OG0000018	N004	1	0	0	0	0	0	
OG0000018	insp1	1	0	0	0	0	0	
OG0000018	insp2	0	0	0	0	0	1	
OG0000018	N005	1	0	0	0	0	0	
OG0000018	insp3	0	0	0	0	0	1	
OG0000018	N006	1	0	0	0	0	0	
OG0000018	insp4	0	0	0	0	0	1	
OG0000018	insp5	1	0	0	0	0	0	
OG0000019	N001	1	1	1	0	0	0	
OG0000019	N002	1	0	0	0	0	0	
OG0000019	outsp1	1	0	0	0	0	0	
OG0000019	outsp2	1	0	0	0	0	0	
OG0000019	N003	1	0	0	0	0	0	
OG0000019	N004	1	0	0	0	0	0	
OG0000019	insp1	1	0	0	0	0	0	
OG0000019	insp2	0	0	0	0	0	1	
OG0000019	N005	1	0	0	0	0	0	
OG0000019	insp3	0	0	0	0	0	1	
OG0000019	N006	1	0	0	0	0	0	
OG0000019	insp4	0	0	0	0	0	1	
OG0000019	insp5	1	0	0	0	0	0	
OG0000020	N001	1	1	1	0	0	0	
OG0000020	N002	1	0	0	0	0	0	
OG0000020	outsp1	1	0	0	0	0	0	
OG0000020	outsp2	1	0	0	0	0	0	
OG0000020	N003	1	0	0	0	0	0	
OG0000020	N004	1	0	0	0	0	0	
OG0000020	insp1	1	0	0	0	0	0	
OG0000020	insp2	0	0	0	0	0	1	
OG0000020	N005	1	0	0	0	0	0	
OG0000020	insp3	0	0	0	0	0	1	
OG0000020	N006	1	0	0	0	0	0	
OG0000020	insp4	0	0	0	0	0	1	
OG0000020	insp5	1	0	0	0	0	0	
OG0000021	N001	1	1	1	0	0	0	
OG0000021	N002	1	0	0	0	0	0	
OG0000021	outsp1	1	0	0	0	0	0	
OG0000021	outsp2	1	0	0	0	0	0	
OG0000021	N003	1	0	0	0	0	0	
OG0000021	N004	1	0	0	0	0	0	
OG0000021	insp1	1	0	0	0	0	0	
OG0000021	insp2	0	0	0	0	0	1	
OG0000021	N005	1	0	0	0	0	0	
OG0000021	insp3	0	0	0	0	0	1	
OG0000021	N006	1	0	0	0	0	0	
OG0000021	insp4	0	0	0	0	0	1	
OG0000021	insp5	1	0	0	0	0	0	
OG0000022	N001	1	1	1	0	0	0	
OG0000022	N002	1	0	0	0	0	0	
